site_code,stn_id,latitude,longitude,well_use
327622N1147994W001,16216,32.7622,-114.7994,Unknown
327628N1171933W001,48693,32.7628,-117.1933,Observation
327630N1146846W001,16749,32.763,-114.6846,Unknown
327633N1146851W001,32467,32.7633,-114.6851,Unknown
327636N1146772W001,16748,32.7636,-114.6772,Unknown
327636N1147458W001,16210,32.7636,-114.7458,Unknown
327637N1145988W001,18271,32.7637,-114.5988,Unknown
327637N1146688W001,32465,32.7637,-114.6688,Unknown
327637N1146688W002,16747,32.7637,-114.6688,Unknown
327637N1146858W001,32468,32.7637,-114.6858,Unknown
327638N1146515W001,16743,32.7638,-114.6515,Unknown
327638N1146601W001,32464,32.7638,-114.6601,Unknown
327644N1146862W001,39643,32.7644,-114.6862,Unknown
327653N1146602W001,16744,32.7653,-114.6602,Unknown
327656N1147443W001,16212,32.7656,-114.7443,Unknown
327657N1146599W001,32463,32.7657,-114.6599,Unknown
327660N1147457W001,16213,32.766,-114.7457,Unknown
327660N1147458W001,16208,32.766,-114.7458,Unknown
327662N1147439W001,16211,32.7662,-114.7439,Unknown
327663N1159994W001,39653,32.7663,-115.9994,Unknown
327664N1146689W001,32466,32.7664,-114.6689,Unknown
327674N1145905W001,18269,32.7674,-114.5905,Unknown
327674N1145905W002,18270,32.7674,-114.5905,Unknown
327674N1146066W001,18398,32.7674,-114.6066,Unknown
327674N1146169W001,18397,32.7674,-114.6169,Unknown
327674N1146306W001,18400,32.7674,-114.6306,Unknown
327674N1146344W001,16737,32.7674,-114.6344,Unknown
327677N1158030W001,16809,32.7677,-115.803,Unknown
327678N1146686W001,16739,32.7678,-114.6686,Unknown
327679N1145396W001,34383,32.7679,-114.5396,Unknown
327679N1146598W001,39983,32.7679,-114.6598,Unknown
327682N1146558W001,16741,32.7682,-114.6558,Unknown
327682N1146558W002,32461,32.7682,-114.6558,Unknown
327683N1146548W001,16742,32.7683,-114.6548,Unknown
327683N1147395W001,16209,32.7683,-114.7395,Unknown
327685N1146553W001,32462,32.7685,-114.6553,Unknown
327685N1148030W001,39045,32.7685,-114.803,Unknown
327686N1146505W001,18408,32.7686,-114.6505,Unknown
327691N1159947W001,35812,32.7691,-115.9947,Unknown
327693N1159433W001,18342,32.7693,-115.9433,Unknown
327694N1146426W001,18410,32.7694,-114.6426,Unknown
327694N1146427W001,18411,32.7694,-114.6427,Unknown
327694N1146558W001,16740,32.7694,-114.6558,Unknown
327694N1146558W002,32460,32.7694,-114.6558,Unknown
327698N1147436W001,33717,32.7698,-114.7436,Unknown
327699N1162909W001,18329,32.7699,-116.2909,Unknown
327702N1159792W001,35929,32.7702,-115.9792,Unknown
327707N1147247W001,33605,32.7707,-114.7247,Unknown
